order_item_id,order_id,product_id,quantity,unit_price
1,7966,170,1,227.07
2,4289,1,2,88.51
3,1018,37,5,429.04
4,3467,123,2,81.16
5,509,250,5,259.06
6,1951,169,3,50.39
7,3234,68,3,93.39
8,9472,153,4,312.39
9,7543,234,5,179.31
10,5858,229,2,329.68
11,1268,183,1,118.84
12,9675,157,2,21.78
13,687,269,5,285.65
14,6570,285,3,137.45
15,6819,125,5,10.67
16,148,124,3,285.66
17,4776,184,1,196.74
18,6743,257,3,299.34
19,8874,127,3,469.62
20,86,247,1,420.93
21,3693,23,5,437.16
22,2260,64,3,188.07
23,482,132,4,336.8
24,289,268,2,213.4
25,2371,43,3,148.61
26,5718,182,2,40.96
27,9428,101,3,219.23
28,6531,154,5,456.67
29,2760,7,1,469.38
30,9960,139,3,271.27
31,6525,115,4,33.31
32,8185,155,2,157.12
33,6940,267,5,439.36
34,1214,42,3,355.78
35,2721,292,5,285.69
36,9004,167,2,56.07
37,4111,275,2,431.15
38,9049,226,3,273.77
39,8143,262,3,187.74
40,3730,170,5,227.07
41,1478,109,4,441.02
42,2782,90,2,143.64
43,7230,124,1,285.66
44,2774,66,1,241.86
45,7882,171,4,303.44
46,7980,107,2,205.32
47,818,75,4,87.43
48,2655,88,5,174.97
49,8728,258,3,118.2
50,6977,134,5,399.83
51,4835,224,1,391.84
52,2695,149,2,316.75
53,2758,232,4,52.7
54,3558,40,5,116.15
55,9781,156,3,12.67
56,1703,229,4,329.68
57,854,40,3,116.15
58,8464,97,3,426.51
59,1312,250,2,259.06
60,638,52,4,229.17
61,6969,113,1,372.64
62,4373,2,1,36.23
63,382,144,2,366.68
64,5315,73,1,172.77
65,54,194,3,239.24
66,9405,275,5,431.15
67,9753,107,1,205.32
68,2941,172,2,188.4
69,4075,280,4,247.79
70,7101,114,2,386.26
71,6202,24,2,53.51
72,5923,225,1,460.49
73,6531,180,3,355.09
74,7683,127,3,469.62
75,8410,291,4,105.71
76,7864,233,5,321.3
77,1295,243,4,182.84
78,4105,296,5,495.46
79,4355,96,5,363.43
80,7067,262,1,187.74
81,5298,207,2,295.85
82,5975,190,3,76.42
83,3313,61,1,282.4
84,5409,66,2,241.86
85,8686,244,3,109.46
86,7528,152,1,120.84
87,1637,158,3,416.5
88,2483,12,2,54.68
