order_id,customer_id,order_date,status
1,932,2025-04-22 15:03:17,shipped
2,355,2026-01-06 03:58:01,cancelled
3,537,2025-07-05 07:25:23,cancelled
4,2413,2026-03-30 03:46:28,processing
5,2102,2026-01-27 20:50:41,delivered
6,2403,2025-05-20 04:07:02,processing
7,1362,2026-01-05 16:51:37,delivered
8,197,2026-03-13 17:39:48,delivered
9,7,2025-09-20 00:23:16,delivered
10,861,2026-02-21 15:21:07,shipped
11,1778,2025-06-21 10:36:41,processing
12,1979,2025-09-23 19:50:59,shipped
13,681,2026-04-06 03:25:04,cancelled
14,1674,2026-02-07 03:59:18,processing
15,1869,2025-08-13 12:00:20,processing
16,314,2025-07-17 03:06:07,processing
17,227,2025-10-22 21:20:28,delivered
18,1376,2025-05-13 14:19:15,delivered
19,1214,2025-09-12 07:59:04,shipped
20,445,2025-04-21 18:45:05,cancelled
21,753,2025-12-07 16:52:47,shipped
22,1197,2026-01-09 18:59:41,processing
23,329,2025-11-02 08:45:41,shipped
24,2258,2026-03-31 13:59:19,delivered
25,1909,2026-04-13 15:58:58,processing
26,1519,2025-12-28 14:52:17,cancelled
27,639,2026-03-19 21:44:46,cancelled
28,2892,2026-02-24 12:42:09,processing
29,859,2025-12-27 11:30:04,delivered
30,2420,2025-08-13 21:13:51,delivered
31,2313,2025-09-23 11:02:30,processing
32,1360,2025-08-22 21:34:18,delivered
33,2969,2025-11-09 14:23:04,processing
34,1271,2025-10-13 07:44:49,shipped
35,670,2026-03-03 01:37:23,delivered
36,458,2025-08-02 20:22:14,processing
37,1617,2025-12-15 03:55:24,delivered
38,847,2026-03-18 01:19:33,delivered
39,817,2025-05-20 22:32:10,processing
40,124,2025-04-25 15:29:27,shipped
41,356,2025-06-24 00:52:55,processing
42,2433,2026-02-01 08:58:07,delivered
43,507,2026-02-18 04:36:41,cancelled
44,2583,2026-04-05 16:16:38,processing
45,1742,2026-02-08 19:13:06,processing
46,1465,2026-01-10 10:36:55,cancelled
47,2076,2025-06-06 02:54:14,processing
48,1095,2025-06-27 07:39:34,delivered
49,1899,2025-11-05 22:30:42,processing
50,2763,2025-12-10 16:09:36,delivered
51,2786,2025-09-21 14:21:26,delivered
52,82,2025-08-20 05:21:26,delivered
53,2909,2026-02-09 17:18:04,shipped
54,124,2025-08-26 18:27:37,processing
55,1319,2025-06-04 11:38:19,shipped
56,61,2025-06-15 07:25:11,processing
57,2404,2025-12-30 01:37:04,cancelled
58,1635,2025-07-21 23:56:37,delivered
59,232,2025-10-22 21:58:46,delivered
60,956,2026-01-29 01:02:01,shipped
61,1563,2025-04-13 22:37:31,processing
62,2253,2025-08-20 10:31:07,processing
63,2000,2025-05-29 00:21:42,processing
64,895,2026-01-02 11:16:56,shipped
65,2152,2026-01-15 23:42:42,cancelled
66,57,2025-09-05 23:06:43,shipped
67,92,2025-08-29 06:48:29,processing
68,1702,2025-05-02 05:29:06,processing
69,1574,2025-12-10 19:31:21,processing
70,2236,2026-01-12 00:24:52,processing
71,2509,2025-11-25 09:51:34,processing
72,1348,2025-12-06 08:24:46,delivered
73,119,2025-10-11 03:21:31,cancelled
74,431,2026-03-24 21:36:18,delivered
75,545,2025-06-16 05:08:33,cancelled
76,81,2025-11-04 21:05:58,delivered
77,566,2025-06-24 10:37:47,delivered
78,675,2025-05-30 12:30:18,cancelled
79,2966,2026-03-11 10:49:13,delivered
80,1749,2026-02-22 06:49:07,shipped
81,192,2025-08-25 02:26:57,cancelled
82,269,2025-09-11 02:34:47,processing
83,689,2025-10-10 15:16:08,processing
84,2584,2025-07-13 01:02:09,delivered
85,339,2025-06-26 22:51:11,processing
86,499,2026-04-01 21:12:11,cancelled
87,611,2025-05-08 23:08:24,cancelled
88,1109,2025-05-11 10:29:12,delivered
89,1831,2025-10-26 17:01:25,processing
90,2005,2025-12-08 17:56:55,cancelled
91,28,2026-01-29 01:37:21,cancelled
92,1461,2025-06-29 09:33:42,cancelled
93,63,2025-06-06 17:05:03,delivered
94,1233,2025-04-25 04:00:16,delivered
95,2293,2026-02-27 07:16:08,shipped
96,1036,2025-12-20 01:53:18,cancelled
97,871,2025-09-20 05:46:51,shipped
98,135,2025-08-21 19:03:01,shipped
99,2903,2025-09-29 02:06:42,delivered
100,1601,2025-06-29 22:44:08,shipped
101,1666,2025-10-26 18:25:03,delivered
102,1682,2025-06-09 11:25:18,delivered
103,589,2025-07-25 07:46:28,cancelled
104,1831,2025-06-23 18:30:10,cancelled
105,1750,2025-10-30 04:49:02,cancelled
106,86,2025-10-01 04:26:48,processing
107,3000,2025-05-17 04:20:31,processing
108,2299,2026-02-14 11:24:31,cancelled
109,823,2025-08-10 21:11:07,cancelled
110,2643,2025-12-20 18:13:08,shipped
111,758,2026-03-19 11:54:35,shipped
112,1600,2026-02-28 04:05:13,cancelled
113,1540,2025-09-26 16:05:34,shipped
114,2371,2026-03-14 00:19:31,delivered
115,1504,2025-11-28 12:20:46,processing
116,414,2025-04-28 23:06:04,processing
117,1136,2025-11-09 06:35:56,shipped
118,625,2025-06-25 10:49:57,delivered
119,134,2026-02-20 03:38:33,delivered
120,647,2025-08-14 10:41:33,cancelled
121,2271,2025-04-19 00:14:54,delivered
122,126,2025-10-30 03:13:48,processing
123,1664,2025-04-26 19:17:17,delivered
124,2357,2026-01-03 14:32:01,processing
